0	0
0.001	-2.75633e-21
0.002	-5.37216e-21
0.003	-7.84829e-21
0.004	-1.01855e-20
0.005	-1.23845e-20
0.006	-1.4446e-20
0.007	-1.63706e-20
0.008	-1.81589e-20
0.009	-1.98114e-20
0.01	-2.13287e-20
0.011	-2.27112e-20
0.012	-2.39594e-20
0.013	-2.50735e-20
0.014	-2.60541e-20
0.015	-2.69012e-20
0.016	-2.76153e-20
0.017	-2.81965e-20
0.018	-2.86449e-20
0.019	-2.89607e-20
0.02	-2.9144e-20
0.021	-2.91949e-20
0.022	-2.91132e-20
0.023	-2.8899e-20
0.024	-2.85521e-20
0.025	-2.80725e-20
0.026	-2.74599e-20
0.027	-2.67142e-20
0.028	-2.58351e-20
0.029	-2.48223e-20
0.03	-2.36754e-20
0.031	-2.23941e-20
0.032	-2.09779e-20
0.033	-1.94263e-20
0.034	-1.77389e-20
0.035	-1.59151e-20
0.036	-1.39542e-20
0.037	-1.18557e-20
0.038	-9.61883e-21
0.039	-7.24288e-21
0.04	-4.72707e-21
0.041	-2.07058e-21
0.042	7.27436e-22
0.043	3.6679e-21
0.044	6.75174e-21
0.045	9.97997e-21
0.046	1.33536e-20
0.047	1.68738e-20
0.048	2.05415e-20
0.049	2.43581e-20
0.05	2.83247e-20
0.051	3.24425e-20
0.052	3.6713e-20
0.053	4.11373e-20
0.054	4.5717e-20
0.055	5.04534e-20
0.056	5.53481e-20
0.057	6.04026e-20
0.058	6.56185e-20
0.059	7.09973e-20
0.06	7.65408e-20
0.061	8.22507e-20
0.062	8.81288e-20
0.063	9.41768e-20
0.064	1.00397e-19
0.065	1.0679e-19
0.066	1.1336e-19
0.067	1.20107e-19
0.068	1.27033e-19
0.069	1.34142e-19
0.07	1.41435e-19
0.071	1.48914e-19
0.072	1.56581e-19
0.073	1.6444e-19
0.074	1.72491e-19
0.075	1.80738e-19
0.076	1.89183e-19
0.077	1.97829e-19
0.078	2.06677e-19
0.079	2.15732e-19
0.08	2.24995e-19
0.081	2.34398e-19
0.082	2.43874e-19
0.083	2.53425e-19
0.084	2.63054e-19
0.085	2.72764e-19
0.086	2.82558e-19
0.087	2.92438e-19
0.088	3.02408e-19
0.089	3.1247e-19
0.09	3.22626e-19
0.091	3.32881e-19
0.092	3.43236e-19
0.093	3.53695e-19
0.094	3.6426e-19
0.095	3.74935e-19
0.096	3.85722e-19
0.097	3.96624e-19
0.098	4.07645e-19
0.099	4.18787e-19
0.1	4.30054e-19
0.101	4.41447e-19
0.102	4.52971e-19
0.103	4.64629e-19
0.104	4.76423e-19
0.105	4.88356e-19
0.106	5.00433e-19
0.107	5.12655e-19
0.108	5.25026e-19
0.109	5.37549e-19
0.11	5.50228e-19
0.111	5.63065e-19
0.112	5.76064e-19
0.113	5.89228e-19
0.114	6.02561e-19
0.115	6.16065e-19
0.116	6.29744e-19
0.117	6.43602e-19
0.118	6.57641e-19
0.119	6.71866e-19
0.12	6.86279e-19
0.121	7.00743e-19
0.122	7.1512e-19
0.123	7.29413e-19
0.124	7.43626e-19
0.125	7.57761e-19
0.126	7.71823e-19
0.127	7.85813e-19
0.128	7.99736e-19
0.129	8.13594e-19
0.13	8.2739e-19
0.131	8.41128e-19
0.132	8.5481e-19
0.133	8.68438e-19
0.134	8.82016e-19
0.135	8.95547e-19
0.136	9.09032e-19
0.137	9.22475e-19
0.138	9.35878e-19
0.139	9.49243e-19
0.14	9.62573e-19
0.141	9.75941e-19
0.142	9.89421e-19
0.143	1.00301e-18
0.144	1.01672e-18
0.145	1.03055e-18
0.146	1.04449e-18
0.147	1.05856e-18
0.148	1.07276e-18
0.149	1.08708e-18
0.15	1.10153e-18
0.151	1.11611e-18
0.152	1.13083e-18
0.153	1.14568e-18
0.154	1.16067e-18
0.155	1.1758e-18
0.156	1.19107e-18
0.157	1.20649e-18
0.158	1.22206e-18
0.159	1.23777e-18
0.16	1.25364e-18
0.161	1.26959e-18
0.162	1.28555e-18
0.163	1.30153e-18
0.164	1.31753e-18
0.165	1.33355e-18
0.166	1.3496e-18
0.167	1.36566e-18
0.168	1.38176e-18
0.169	1.39788e-18
0.17	1.41403e-18
0.171	1.43022e-18
0.172	1.44644e-18
0.173	1.46269e-18
0.174	1.47898e-18
0.175	1.49531e-18
0.176	1.51168e-18
0.177	1.52809e-18
0.178	1.54454e-18
0.179	1.56103e-18
0.18	1.57758e-18
0.181	1.59423e-18
0.182	1.61108e-18
0.183	1.62812e-18
0.184	1.64535e-18
0.185	1.66277e-18
0.186	1.68039e-18
0.187	1.6982e-18
0.188	1.71621e-18
0.189	1.73441e-18
0.19	1.75281e-18
0.191	1.77142e-18
0.192	1.79022e-18
0.193	1.80923e-18
0.194	1.82844e-18
0.195	1.84786e-18
0.196	1.86748e-18
0.197	1.88731e-18
0.198	1.90734e-18
0.199	1.92759e-18
0.2	1.94804e-18
0.201	1.96871e-18
0.202	1.98959e-18
0.203	2.01069e-18
0.204	2.032e-18
0.205	2.05352e-18
0.206	2.07526e-18
0.207	2.09723e-18
0.208	2.11941e-18
0.209	2.14181e-18
0.21	2.16443e-18
0.211	2.18728e-18
0.212	2.21035e-18
0.213	2.23364e-18
0.214	2.25717e-18
0.215	2.28091e-18
0.216	2.30489e-18
0.217	2.3291e-18
0.218	2.35354e-18
0.219	2.3782e-18
0.22	2.4031e-18
0.221	2.42831e-18
0.222	2.45389e-18
0.223	2.47985e-18
0.224	2.50619e-18
0.225	2.5329e-18
0.226	2.56e-18
0.227	2.58748e-18
0.228	2.61534e-18
0.229	2.64359e-18
